Name	Gender
Aaron_Eckhart	male
Aaron_Guiel	male
Aaron_Patterson	male
Aaron_Peirsol	male
Aaron_Pena	male
Aaron_Sorkin	male
Aaron_Tippin	male
Abbas_Kiarostami	male
Abba_Eban	male
Abdel_Aziz_Al-Hakim	male
Abdel_Madi_Shabneh	male
Abdel_Nasser_Assidi	male
Abdoulaye_Wade	male
Abdulaziz_Kamilov	male
Abdullah	male
Abdullah_Ahmad_Badawi	male
Abdullah_al-Attiyah	male
Abdullah_Gul	male
Abdullah_Nasseef	male
Abdullatif_Sener	male
Abdul_Majeed_Shobokshi	male
Abdul_Rahman	male
Abel_Aguilar	male
Abel_Pacheco	male
Abid_Hamid_Mahmud_Al-Tikriti	male
Abner_Martinez	male
Abraham_Foxman	male
Aby_Har-Even	male
Adam_Ant	male
Adam_Freier	male
Adam_Herbert	male
Adam_Kennedy	male
Adam_Mair	male
Adam_Rich	male
Adam_Sandler	male
Adam_Scott	male
Adelina_Avila	male
Adel_Al-Jubeir	male
Adisai_Bodharamik	male
Adolfo_Aguilar_Zinser	male
Adolfo_Rodriguez_Saa	male
Adoor_Gopalakarishnan	male
Adriana_Lima	female
Adriana_Perez_Navarro	female
Adrianna_Zuzic	female
Adrian_Annus	male
Adrian_Fernandez	male
Adrian_McPherson	male
Adrian_Murrell	male
Adrian_Nastase	male
Adrien_Brody	male
Afton_Smith	female
Agbani_Darego	female
Agnelo_Queiroz	male
Agnes_Bruckner	female
Ahmad_Jbarah	male
Ahmad_Masood	male
Ahmed_Ahmed	male
Ahmed_Chalabi	male
Ahmed_Ghazi	male
Ahmed_Ibrahim_Bilal	male
Ahmed_Lopez	male
Ahmed_Qureia	male
Ahmet_Demir	male
Ahmet_Necdet_Sezer	male
Aicha_El_Ouafi	male
Aidan_Quinn	male
Aileen_Riggin_Soule	male
Ainsworth_Dyer	male
Ain_Seppik	male
Aishwarya_Rai	female
Aitor_Gonzalez	male
Aiysha_Smith	female
Ai_Sugiyama	female
Ajit_Agarkar	male
AJ_Cook	female
AJ_Lamas	male
Akbar_Al_Baker	male
Akbar_Hashemi_Rafsanjani	male
Akhmed_Zakayev	male
Akiko_Morigami	female
Akmal_Taher	male
Alain_Cervantes	male
Alain_Ducasse	male
Alanis_Morissette	female
Alanna_Ubach	female
Alan_Ball	male
Alan_Dershowitz	male
Alan_Dreher	male
Alan_Greenspan	male
Alan_Greer	male
Alan_Jackson	male
Alan_Mulally	male
Alan_Stonecipher	male
Alan_Tang_Kwong-wing	male
Alan_Trammell	male
Alan_Zemaitis	male
Alastair_Campbell	male
Alastair_Johnston	male
Albaro_Recoba	male
Alberta_Lee	female
Alberto_Acosta	male
Alberto_Fujimori	male
Alberto_Gonzales	male
Alberto_Ruiz_Gallardon	male
Alberto_Sordi	male
Albert_Brooks	female
Albert_Costa	male
Albert_Montanes	male
Albert_Pujols	male
Albrecht_Mentz	male
Aldo_Paredes	male
Alecos_Markides	male
Alec_Baldwin	male
Alejandro_Atchugarry	male
Alejandro_Avila	male
Alejandro_Fernandez	male
Alejandro_Gonzalez_Inarritu	male
Alejandro_Lembo	male
Alejandro_Lerner	male
Alejandro_Lopez	male
Alejandro_Toledo	male
Aleksander_Kwasniewski	male
Aleksander_Voloshin	male
Alek_Wek	female
Alessandra_Cerna	female
Alessandro_Nesta	male
Alexander_Downer	male
Alexander_Losyukov	male
Alexander_Lukashenko	male
Alexander_Payne	male
Alexander_Rumyantsev	male
Alexandra_Jackson	female
Alexandra_Pelosi	female
Alexandra_Rozovskaya	female
Alexandra_Spann	female
